emp_id,salary,dob
1,58310,24-03-21
2,72374,12-01-22
3,67115,23-11-19
4,90878,25-07-21
5,87007,16-02-20
6,76745,17-07-21
7,54258,22-10-22
8,71973,13-03-19
9,96360,14-06-21
10,63129,19-10-22
11,77360,04-09-22
12,67340,13-02-19
13,49363,26-09-20
14,73246,22-01-21
15,51082,06-02-21
16,99893,25-09-21
17,57735,04-09-20
18,45827,31-12-18
19,69624,11-04-21
20,74537,23-12-18
21,96103,04-07-19
22,82264,09-04-20
23,70563,19-10-21
24,80553,23-11-20
25,87573,16-05-20
26,92395,03-03-20
27,65626,12-08-20
28,53695,24-01-20
29,74037,04-04-19
30,82414,18-10-22
31,89173,09-07-19
32,90658,01-09-21
33,97847,23-09-19
34,76002,08-03-22
35,89790,26-10-22
36,74562,17-04-19
37,87399,26-04-21
38,53836,04-03-21
39,85992,14-10-19
40,96316,17-11-19
41,51868,10-07-20
42,50398,23-07-20
43,76019,25-12-18
44,70601,17-08-22
45,82537,15-05-21
46,78469,16-12-19
47,75958,05-08-21
48,98508,07-12-20
49,53868,13-02-19
50,88415,09-09-22
51,80504,06-03-21
52,43173,30-01-21
53,53648,17-01-20
54,62772,25-01-20
55,93300,09-11-22
56,67921,14-08-20
57,79684,05-05-19
58,47862,05-06-20
59,83877,13-04-19
60,43334,22-10-21
61,73735,10-11-20
62,87178,10-02-20
63,43518,03-04-19
64,68812,31-12-20
65,78711,13-12-18
66,97311,01-10-21
67,63465,25-09-19
68,43852,19-06-21
69,77193,11-01-19
70,42572,22-03-19
71,58987,28-03-19
72,77164,12-07-20
73,94087,09-09-21
74,51139,23-11-22
75,47251,12-05-21
76,85772,09-03-22
77,59679,13-02-21
78,77810,27-10-21
79,53565,16-08-20
80,49359,26-12-19
81,71727,15-04-19
82,74870,06-03-20
83,65355,24-06-20
84,46833,19-02-19
85,81439,06-08-22
86,45835,19-02-20
87,61052,16-02-22
88,77033,19-01-19
89,53065,02-10-22
90,65227,07-09-22
91,51428,01-06-20
92,91693,27-12-20
93,54403,26-12-20
94,41858,16-09-20
95,76590,19-10-20
96,52707,22-11-22
97,91467,23-01-21
98,95397,12-02-19
99,57497,30-03-19
100,99140,29-12-21
